# Generated at 2024-10-15 11:16:11 (04:00) by AQUARIUS Time-Series 24.1.177.0,,,,,
# UTC-05,,,,,
# Period Selected: Entire Record,,,,,
#,,,,,
# Comment: ,,,,,
# Description: ,,,,,
# ReportTitle: LCCD Little Conestoga Sonde Data May 2023 - July 2024,,,,,
#,,,,,
# CSV data starts at line 12,,,,,
#,,,,,
TimeStamp,Dissolved Oxygen (mg/l),Water Temperature (C),Specific Conductivity (uS/cm),pH,Total Dissolved Solids (mg/l)
5/5/2023 4:04,8.68,13.697,745.4,8.04,484
5/5/2023 4:19,8.64,13.692,745.9,8.04,485
5/5/2023 4:34,8.6,13.679,746.2,8.03,485
5/5/2023 4:49,8.57,13.662,746.6,8.03,485
5/5/2023 5:04,8.55,13.64,747.7,8.03,486
5/5/2023 5:19,8.52,13.61,747.9,8.02,486
5/5/2023 5:34,8.51,13.574,748.7,8.02,487
5/5/2023 5:49,8.5,13.535,748.9,8.01,487
5/5/2023 6:04,8.49,13.488,749.4,8.01,487
5/5/2023 6:19,8.48,13.444,749.9,8,487
5/5/2023 6:34,8.48,13.396,749.3,8,487
5/5/2023 6:49,8.48,13.334,749.7,8,487
5/5/2023 7:04,8.48,13.273,750.2,8,488
5/5/2023 7:19,8.48,13.21,751.4,8,488
5/5/2023 7:34,8.48,13.145,751.9,7.99,489
5/5/2023 7:49,8.49,13.085,752.2,7.99,489
5/5/2023 8:04,8.5,13.023,751.7,7.99,489
5/5/2023 8:19,8.5,12.965,751.6,7.99,489
5/5/2023 8:34,8.52,12.91,751.2,7.99,488
5/5/2023 8:49,8.53,12.852,751.1,7.99,488
5/5/2023 9:04,8.54,12.794,751,7.99,488
5/5/2023 9:19,8.56,12.726,750.7,7.99,488
5/5/2023 9:34,8.58,12.656,750.7,7.99,488
5/5/2023 9:49,8.59,12.58,751.1,7.99,488
5/5/2023 10:04,8.61,12.503,751.5,7.99,488
5/5/2023 10:19,8.64,12.432,751.9,7.99,489
5/5/2023 10:34,8.66,12.369,753.1,7.99,489
5/5/2023 10:49,8.69,12.311,753.9,7.99,490
5/5/2023 11:04,8.74,12.27,753.7,7.99,490
5/5/2023 11:19,8.8,12.238,753.2,7.99,490
5/5/2023 11:34,8.88,12.215,752.6,8,489
5/5/2023 11:49,8.98,12.22,752.2,8,489
